,architecture,task,kind,source,layer,ED,SNR,MRR,Encoding score
98,ResNet18,Relative Position,Self-Supervised,VVS,layer2.0.relu,9.213855356858918,1.8555120998736936,0.3735551057607665,0.2927122996984151
99,ResNet18,Relative Position,Self-Supervised,VVS,layer2.1.relu,10.392236265000571,1.903976464865773,0.3895282337499313,0.3264686947356255
100,ResNet18,Relative Position,Self-Supervised,VVS,layer3.0.relu,14.026892217143748,1.880511926956044,0.41714033877802964,0.3684471506606283
101,ResNet18,Relative Position,Self-Supervised,VVS,layer3.1.relu,16.291541291321984,1.9558713315162315,0.4396682861371519,0.3971932880473065
102,ResNet18,Relative Position,Self-Supervised,VVS,layer4.0.relu,17.08934267722913,1.758521807756256,0.4387928200436816,0.4032610415151758
103,ResNet18,Relative Position,Self-Supervised,VVS,layer4.1.relu,16.197689284784243,1.7431018486374783,0.44626341288182453,0.3974323920594789
104,ResNet18,Depth Prediction,Supervised,VVS,layer1.0.relu,3.912151692741218,1.4706622660204025,0.291407502636461,0.2496812856151799
105,ResNet18,Depth Prediction,Supervised,VVS,layer1.1.relu,5.793603342175421,1.8563212956138824,0.31806248726105907,0.2538793551918529
106,ResNet18,Depth Prediction,Supervised,VVS,layer2.0.relu,8.421534975641796,2.2341590425149622,0.3586892511133998,0.2751044883252289
107,ResNet18,Depth Prediction,Supervised,VVS,layer2.1.relu,10.181790471079047,2.233395660273086,0.38043826075822607,0.3293542332730622
108,ResNet18,Depth Prediction,Supervised,VVS,layer3.0.relu,11.5118269067994,1.8945021173738288,0.36690531836659607,0.3601772517406736
109,ResNet18,Depth Prediction,Supervised,VVS,layer3.1.relu,13.7410244342745,1.9660789302963508,0.3761815810017243,0.3569719114317643
110,ResNet18,Depth Prediction,Supervised,VVS,layer4.0.relu,19.28273613153212,1.6736870761023883,0.3565832632615816,0.273634737746443
111,ResNet18,Depth Prediction,Supervised,VVS,layer4.1.relu,26.99987263827557,1.5964578835119203,0.36199061312257025,0.270280842926268
112,ResNet18,SimCLR,Self-Supervised,VVS,layer1.0.relu,4.581374014912477,1.6307950561181723,0.3327343893083204,0.3006611368257199
113,ResNet18,SimCLR,Self-Supervised,VVS,layer1.1.relu,7.424479419915902,1.9462139236795395,0.3477875753333627,0.303737720239392
114,ResNet18,SimCLR,Self-Supervised,VVS,layer2.0.relu,11.207013789631864,2.3578264920400582,0.38076596431813725,0.3358071597063429
115,ResNet18,SimCLR,Self-Supervised,VVS,layer2.1.relu,11.076782040220266,2.392204133633912,0.39808078555570303,0.3456413613441704
116,ResNet18,SimCLR,Self-Supervised,VVS,layer3.0.relu,17.919720374519457,2.212254502518222,0.49065035454501194,0.4605303136474163
117,ResNet18,SimCLR,Self-Supervised,VVS,layer3.1.relu,21.462200811403427,2.2593606916811915,0.547732413883985,0.4857585819644822
118,ResNet18,SimCLR,Self-Supervised,VVS,layer4.0.relu,30.442719306561383,2.3601547048964564,0.6434290550009285,0.5355894344065264
119,ResNet18,SimCLR,Self-Supervised,VVS,layer4.1.relu,50.57581307062426,2.3346809228797936,0.7132582075297815,0.5413108540470324
120,ResNet18,Deep Cluster,Self-Supervised,VVS,layer1.0.relu,4.7749855091943365,1.8069893450755483,0.2651260506608243,0.2677601823030311
121,ResNet18,Deep Cluster,Self-Supervised,VVS,layer1.1.relu,5.907112271352989,2.04017336983465,0.30211379834717245,0.2750659893950125
122,ResNet18,Deep Cluster,Self-Supervised,VVS,layer2.0.relu,10.49210211464024,2.1423598173041984,0.3784394022817369,0.3407266503681042
123,ResNet18,Deep Cluster,Self-Supervised,VVS,layer2.1.relu,12.657394085499158,2.280182772341928,0.4179214735016825,0.3824537911288079
124,ResNet18,Deep Cluster,Self-Supervised,VVS,layer3.0.relu,18.97255767396925,2.101836333324308,0.5079309494214954,0.469088118875375
125,ResNet18,Deep Cluster,Self-Supervised,VVS,layer3.1.relu,28.78790072668633,2.031669242417826,0.5786999036676054,0.4894792539987248
126,ResNet18,Deep Cluster,Self-Supervised,VVS,layer4.0.relu,65.28734171827944,2.011888712560312,0.6450196260398122,0.4962693577275482
127,ResNet18,Deep Cluster,Self-Supervised,VVS,layer4.1.relu,176.23513387403568,2.2403408339451234,0.6660358719010281,0.4594822118056389
128,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer1.0.relu,3.776200449861152,1.58148707461077,0.25166511071182485,0.3020044590003105
129,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer1.1.relu,5.539615332918693,2.0507067555611806,0.2737644761348924,0.2863060345733123
130,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS,layer2.0.relu,7.735891996097474,1.8903280013595187,0.3274658294030495,0.3417054011279635
