accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.032,0.1356,0.11022609334515435,-4.859375200584714,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1736,0.13099070644784067,-5.671337220989822,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.2032,0.13870764986015607,-12.1921574637699,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.214,0.14376223696558996,-11.399596274652827,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.032,0.1368,0.10980537768792895,-4.850056568619837,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1644,0.13091124396430467,-5.843486839548784,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1892,0.14022579928210427,-11.614461519659768,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.214,0.14254895480708957,-12.900903618183378,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.032,0.146,0.11478062597503699,-4.633339694364308,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1712,0.13147291113903767,-5.432014288903466,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.21,0.1495281447161807,-7.841089221303942,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.2152,0.14482202456491886,-9.798690241914167,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1272,0.11112605731763613,-4.915465247410409,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1688,0.13330795185004468,-5.53084124967574,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1944,0.13820517963640722,-11.776551733550352,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.2108,0.13915160920605238,-10.019166915924112,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.1336,0.11206846720286012,-4.8456342594169115,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1724,0.13662606328762752,-5.545189864394313,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1968,0.1358858908616102,-10.301614747011417,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0284,0.2124,0.14112517629847424,-14.106236139162718,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0272,0.138,0.1078245924619094,-4.793298194775461,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1708,0.1300692840724895,-5.566526679288623,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1956,0.14159034647977098,-11.838555344758896,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.032,0.2236,0.14609009848069296,-10.095605351213951,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1368,0.11322244112244773,-4.6331982715959255,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1672,0.1252781615187121,-7.7896855562660905,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.032,0.2064,0.13828534497975345,-12.48130812567168,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.2204,0.14503541788672242,-12.4647591399312,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1528,0.12455311894027095,-4.633362819618632,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.1584,0.11911421278469779,-5.615774953861537,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.2056,0.14257352412604443,-10.701608967173174,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0248,0.2248,0.13832159250373535,-14.424317059228851,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0272,0.1252,0.10291700011075118,-4.727476595544337,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.166,0.12981318090639488,-5.633441563651683,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.2036,0.13982746462122667,-11.27695343482405,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.2168,0.14100090021613834,-11.009560433750943,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1524,0.12244831377372398,-4.750856800710806,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1756,0.1336780895583981,-5.775594040076723,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1944,0.13776999531100617,-8.739533171323323,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.03,0.2036,0.13683826805098045,-8.617065111088364,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.032,0.136,0.10978064056789161,-4.899871674957638,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1704,0.12929556505791492,-5.852935128638654,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1936,0.13927427059184105,-10.925729028330398,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.032,0.2156,0.14480226448734082,-10.611280228768216,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1352,0.10818530175790031,-5.004642860011023,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1656,0.12814720316715605,-6.054469223718017,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1892,0.1383556004983825,-12.574236225070061,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.2132,0.14603538784315656,-13.375276062842795,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1344,0.11445442965415384,-4.724411040935076,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1708,0.13014448288695368,-5.670591110831194,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2016,0.14831855788580126,-8.30797797777197,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.2224,0.15035969280943526,-15.253707833459147,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0344,0.126,0.11010798741251675,-5.026568752401359,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.17,0.1345777962956995,-5.699607169485627,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.212,0.13922706529229137,-15.678330739821376,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0284,0.2092,0.13940950194342644,-12.63864550320118,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1344,0.11261989739621438,-4.956325072730503,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1752,0.13291513531924976,-5.718126479047051,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1884,0.13949535466696586,-11.62555045406908,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.2132,0.1401230277997546,-12.443011207335203,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.132,0.10675842847565746,-4.934688720804941,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1728,0.13256197018811702,-5.7977223897804,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1944,0.14246577698937574,-13.597062764401862,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.2072,0.14425900952783025,-7.583420940871576,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
