accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.2088,0.4836,0.3469962763409458,-3.230941991152042,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.218,0.16933017225123062,-4.283147177081875,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1228,0.3344,0.23780403260785887,-3.6490553768888474,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1772,0.4356,0.3091853218118914,-3.4253728672814483,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.2104,0.4884,0.35157330003883874,-3.193961293412361,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2128,0.1669030176984688,-4.308845874545912,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1196,0.34,0.24142539543518404,-3.5701114162354557,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1796,0.4464,0.31601065599476963,-3.417394010126307,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.2164,0.4976,0.3559370863824694,-3.1866597359616855,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0788,0.2204,0.1714744909801277,-4.145923795152895,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1184,0.3424,0.2415548997278911,-3.606776536073781,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1728,0.4408,0.30903555942654576,-3.4519846629635067,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.21,0.5116,0.3556917597378946,-3.3507567865112584,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2256,0.17454192528585444,-3.9237094577051153,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.128,0.3524,0.2506594656994979,-3.5718228711475994,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
