accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.148,0.3988,0.28183892907254054,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2036,0.15916673879495233,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.2844,0.20626747161532658,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1448,0.3668,0.26471037390953683,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.156,0.404,0.2825971958202331,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.062,0.1736,0.14368426916414626,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0876,0.2856,0.19641334336750385,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.124,0.36,0.25168381519016864,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1472,0.3904,0.2754509417769165,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.064,0.1844,0.1479478047792386,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.2604,0.1994672790592778,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.12,0.3408,0.2431496797119767,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1412,0.3676,0.2646855754636256,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.062,0.1844,0.14654788275439337,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2456,0.18390476627014327,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1148,0.3208,0.22937865081357908,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.134,0.3472,0.25202561941487195,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2044,0.15723778557877677,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.11,0.2928,0.2184934736916517,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1148,0.3296,0.23369327243359503,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1324,0.3632,0.25836642180352315,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1972,0.1474849389092977,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.276,0.20589138663900566,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.122,0.3444,0.24126285379081777,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.3536,0.2543056308949214,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.1832,0.14244587044365772,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1088,0.2688,0.20693689471075633,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1244,0.3312,0.23953206304618152,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1368,0.356,0.2567320697499504,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.1812,0.14880445962055425,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1,0.292,0.2111087256588955,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1276,0.33,0.2436090139542154,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1436,0.3616,0.2621806103366135,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.1924,0.15707377372885845,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1008,0.2764,0.20729457141149965,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.3536,0.25373562764948393,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1456,0.3824,0.26926108133449533,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0804,0.2068,0.16506064188550212,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.2804,0.20802992834443454,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1232,0.338,0.2409611177722724,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1352,0.3672,0.26298792283021794,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.208,0.16016112564024312,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2732,0.19692036244123476,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1336,0.3412,0.24915558888231104,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1432,0.372,0.2667735845888269,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.1644,0.13627669924377775,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.2548,0.1862218721817143,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1192,0.3308,0.23808634034965398,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.138,0.3532,0.2599251595358368,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.066,0.1892,0.15074439424453256,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.266,0.20215441606073367,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1296,0.3388,0.24556423004258976,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1464,0.3616,0.26441378150116396,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.058,0.1776,0.14365433071687564,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2392,0.1812282525581268,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1148,0.3196,0.23014482700772831,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1296,0.3436,0.2489643454074802,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.206,0.15983471510198727,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1092,0.2964,0.21974947347922863,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.3248,0.23391312279066043,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1384,0.3624,0.25983965408148163,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1948,0.14746822639926402,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.2796,0.2083860309595086,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1264,0.3372,0.24269490930577614,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1384,0.352,0.2550803542142123,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.1856,0.14377693473606892,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1072,0.262,0.2062705693184156,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.13,0.33,0.24076868235859816,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1344,0.3536,0.2540747894865363,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.18,0.14897158993854343,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.2864,0.2116539374428739,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1208,0.3376,0.24020284499328864,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1364,0.3552,0.25708415001252044,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0672,0.2048,0.15795224671686853,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.28,0.21200096387637127,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1344,0.3456,0.25127556687142333,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1472,0.3768,0.26817838356038787,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2068,0.1637496855973583,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.2824,0.2144411928550043,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1204,0.3416,0.24047914940398746,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1292,0.372,0.2584253283806075,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.2012,0.15843614915488177,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.2704,0.19905464801641015,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1288,0.342,0.24715965044307003,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1444,0.3752,0.2669925357890148,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.1592,0.13392017306209084,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0804,0.2592,0.18577931668451705,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.12,0.326,0.23664987189011408,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1384,0.3532,0.257260323157098,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.064,0.1848,0.14812023574419178,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.2688,0.20223586488398396,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1256,0.3276,0.24025953033588512,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1388,0.3492,0.25653882934021077,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.1832,0.14459274456976892,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2396,0.17882654786777585,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.112,0.3068,0.22383164984498521,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1256,0.3292,0.24063946450537338,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.1952,0.15777360275944025,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1096,0.2912,0.21766037317219816,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1128,0.3172,0.22909970593761808,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1328,0.3472,0.25127194943499803,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.188,0.14884576475085567,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.2736,0.20739318339168553,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1276,0.3276,0.2382191523593002,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.136,0.3456,0.2507375611012443,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.1808,0.14233185846644428,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.2488,0.20503902617962552,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1144,0.3248,0.23030112212638332,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1304,0.3424,0.2470513585511056,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0608,0.1788,0.1440569514347481,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1008,0.2916,0.21018132870776962,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1232,0.3232,0.237760631682262,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1364,0.3408,0.25135587130366116,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0624,0.2008,0.15446127142236143,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.2752,0.20579416221077704,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1308,0.3308,0.2435180055746664,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.142,0.3664,0.26151222505820826,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2052,0.16209242995794904,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2728,0.20388998691975294,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1104,0.3252,0.22985433841918648,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1236,0.3536,0.25003410499321993,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2,0.1576723471951322,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.094,0.254,0.19392356534327881,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.122,0.3336,0.2398017421464934,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.142,0.3684,0.261692078985431,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.1568,0.13254813690222098,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.248,0.18130551696191918,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1152,0.3176,0.23064513008694412,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1312,0.3424,0.24916193755137733,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.1844,0.15064590886573484,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.256,0.1939559688762572,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1164,0.3228,0.23395601395298654,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1396,0.3436,0.2559000399294155,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.1728,0.14551733361616076,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.22,0.1736173793917134,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.11,0.2944,0.21989597019584944,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.3172,0.23211119160840177,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.07,0.1888,0.1555213529369103,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.11,0.2912,0.215693138896057,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1084,0.312,0.2225483101276375,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1244,0.3376,0.24180570094592443,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.19,0.14780640316485996,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.2676,0.20018108215989858,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.124,0.3216,0.23353824176243915,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1248,0.3308,0.2409271163351934,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.1828,0.13899074420181254,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.2504,0.19927603946772485,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1172,0.3136,0.22889515982478306,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.128,0.332,0.24292406344377473,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0656,0.1744,0.14568712270656667,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2892,0.20383122362120656,5,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1196,0.3148,0.2309220985364192,20,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1356,0.3336,0.2482521273826564,50,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2008,0.15583389926051835,1,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.262,0.19756224902656463,5,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1252,0.322,0.23681885536580224,20,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.136,0.35,0.2537208749135457,50,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.208,0.16002428490911608,1,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.094,0.2644,0.19892090754806907,5,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1116,0.3164,0.2278275720456546,20,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.1224,0.3452,0.24568956931027827,50,7,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.204,0.15754255839122938,1,8,layer4.0.relu,ResNet18,None,Untrained,PyTorch
