accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.244,0.538,20,1,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3858736598273592
0.2668,0.5844,50,1,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4131382656308197
0.1376,0.3644,1,2,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2581950469086007
0.2192,0.4832,5,2,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3523849556578567
0.2464,0.5548,20,2,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3928913350196834
0.2644,0.5824,50,2,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4110890539078086
0.1128,0.3004,1,3,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2185408423411791
0.1932,0.4732,5,3,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3305996929409935
0.2584,0.5628,20,3,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4031872022783978
0.2764,0.5836,50,3,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4219339781752812
0.1012,0.304,1,4,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2151931014604014
0.2112,0.488,5,4,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3487464895625399
0.2632,0.5684,20,4,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4074899736278562
0.2776,0.5772,50,4,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4200114204726214
0.102,0.2612,1,5,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.200951436307902
0.1824,0.4436,5,5,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3175757616480908
0.2448,0.5376,20,5,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3884780751288755
0.2676,0.5728,50,5,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4127243550547368
0.1044,0.2824,1,6,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2110239471110907
0.1864,0.4436,5,6,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3167029121636754
0.2668,0.5528,20,6,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4031085274983083
0.2788,0.58,50,6,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4196117235228261
0.1108,0.308,1,7,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2225886581424181
0.2172,0.4872,5,7,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3531859498963704
0.2648,0.5672,20,7,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4054586644842473
0.2836,0.5872,50,7,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4282525392651794
0.112,0.2876,1,8,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2162417999054506
0.2072,0.4668,5,8,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3399047239504464
0.2632,0.574,20,8,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4101331730841026
0.2792,0.5976,50,8,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4276702948427252
0.102,0.2832,1,9,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2075130844504088
0.1828,0.4912,5,9,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3301193784819477
0.2616,0.5748,20,9,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.408618829577257
0.278,0.5772,50,9,layer3.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4227838972151184
0.1168,0.3036,1,0,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2249138048076371
0.2008,0.454,5,0,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3309874186580532
0.2532,0.548,20,0,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3951849033718952
0.2604,0.5616,50,0,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4039363613046524
0.1216,0.3252,1,1,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2335780704497925
0.2056,0.4708,5,1,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3388930635779549
0.2372,0.5352,20,1,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3795220845616307
0.2556,0.576,50,1,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4081415174507046
0.142,0.3572,1,2,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2588203423048927
0.2112,0.4844,5,2,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3471591757145326
0.2436,0.55,20,2,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3893748133551062
0.2632,0.5732,50,2,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4086381988158836
0.1184,0.2996,1,3,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2236677734653757
0.194,0.4652,5,3,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3275497189743095
0.2612,0.5552,20,3,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4014402002848478
0.2704,0.5888,50,3,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4186965955764797
0.1088,0.3136,1,4,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.221033638924459
0.206,0.4864,5,4,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3457613081009539
0.2572,0.5608,20,4,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4053957937994912
0.2656,0.5756,50,4,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4138364487545484
0.0992,0.2708,1,5,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2008994914235708
0.1828,0.432,5,5,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3149931416144033
0.2436,0.5388,20,5,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3850042598704506
0.2676,0.568,50,5,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4122760847950772
0.1012,0.2804,1,6,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2075903551231603
0.192,0.44,5,6,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3192277936290598
0.2652,0.5492,20,6,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4018145146108053
0.274,0.5736,50,6,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4162501212417479
0.1112,0.3088,1,7,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2243803130403524
0.2124,0.4772,5,7,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3491078088988261
0.264,0.5596,20,7,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.405004640448895
0.2764,0.5932,50,7,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4258198333764887
0.116,0.2936,1,8,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2191811399835443
0.2044,0.4676,5,8,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3372474275433772
0.2632,0.5744,20,8,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4102544732135172
0.28,0.596,50,8,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4289777898707955
0.1028,0.2684,1,9,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2057189052826042
0.1756,0.4856,5,9,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3249902918754351
0.2576,0.574,20,9,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4080087802371653
0.2692,0.5836,50,9,layer3.1.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4184919253758113
0.1156,0.3076,1,0,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2259151246053935
0.1972,0.4588,5,0,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3326666096923052
0.2572,0.5564,20,0,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.400163405016046
0.27,0.5672,50,0,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4131086171621633
0.1236,0.3256,1,1,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2366261077823891
0.204,0.4764,5,1,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3406155770659065
0.2444,0.5436,20,1,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3880677467025057
0.2608,0.59,50,1,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4132574861305399
0.1448,0.358,1,2,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2612975809076802
0.2188,0.4912,5,2,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3541848351450821
0.2492,0.5536,20,2,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.394350826339524
0.272,0.5836,50,2,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4170332107916124
0.1204,0.3096,1,3,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2267059034407698
0.1924,0.4652,5,3,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3271974353196948
0.26,0.5644,20,3,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4028378145065456
0.2684,0.5956,50,3,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4209375936587696
0.1136,0.3108,1,4,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2257070106578299
0.216,0.4864,5,4,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3516318511982819
0.26,0.5676,20,4,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4087219406200821
0.2676,0.5892,50,4,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4180455008276052
0.1044,0.2748,1,5,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2065099843697488
0.1876,0.4384,5,5,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3189525262611914
0.2496,0.5472,20,5,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3913601110652042
0.2708,0.5824,50,5,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4175697099608311
0.1084,0.2864,1,6,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2119078257242205
0.1924,0.4516,5,6,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3218483296249784
0.2676,0.5612,20,6,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4066701504210324
0.2792,0.5868,50,6,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4220367275678177
0.1152,0.3152,1,7,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2271994785586615
0.2112,0.4808,5,7,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3483763452478015
0.2656,0.5612,20,7,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4069640445618747
0.292,0.5984,50,7,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4372760928131083
0.1172,0.302,1,8,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2240115873911725
0.1968,0.4692,5,8,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3337775588158823
0.264,0.5876,20,8,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4134275327617036
0.2876,0.6016,50,8,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4365890999812557
0.1028,0.2708,1,9,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2064783208469786
0.1852,0.5068,5,9,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3329695932087296
0.2724,0.5828,20,9,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4179087987463376
0.2904,0.586,50,9,layer3.2.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4327788361086656
0.118,0.306,1,0,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2279382798821533
0.2004,0.46,5,0,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3352977509168837
0.2604,0.5532,20,0,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4033982280396287
0.2732,0.5752,50,0,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4169266389875928
0.124,0.3236,1,1,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2371768275814497
0.2052,0.4836,5,1,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3445412140619759
0.2456,0.546,20,1,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3888037033257561
0.2624,0.592,50,1,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4167283425432358
0.144,0.3576,1,2,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2615481187644576
0.2156,0.4988,5,2,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3543687276540417
0.2488,0.556,20,2,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3960358343530618
0.272,0.5844,50,2,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4197389857747066
0.1216,0.3092,1,3,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2276542600229877
0.1928,0.4708,5,3,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3295013638923953
0.268,0.5624,20,3,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4080008466384788
0.276,0.592,50,3,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4255425517003827
0.1188,0.3184,1,4,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2301738201829207
0.2216,0.4852,5,4,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3555030217384279
0.2656,0.5724,20,4,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4122247662953487
0.268,0.594,50,4,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4194055523725685
0.1108,0.2796,1,5,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2120666153695609
0.1956,0.4488,5,5,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3252417074844732
0.2484,0.5468,20,5,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3921543800163413
0.276,0.588,50,5,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4231609787924992
0.1044,0.2832,1,6,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2086769732962677
0.1956,0.4532,5,6,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3242433784570794
0.2684,0.564,20,6,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4102572265463119
0.2836,0.5892,50,6,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.426032883575766
0.1152,0.3188,1,7,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2293052863644584
0.2144,0.482,5,7,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.349633920335179
0.2724,0.5596,20,7,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4113953916615831
0.2956,0.6036,50,7,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4407905047761078
0.1184,0.306,1,8,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2252908182321381
0.2024,0.4856,5,8,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3381641743131757
0.2644,0.5848,20,8,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.414941371699334
0.292,0.6032,50,8,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4412515102684762
0.102,0.2696,1,9,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.205825292519147
0.1868,0.5032,5,9,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3343589010217896
0.2716,0.5808,20,9,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4197982606204015
0.2936,0.5876,50,9,layer3.3.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4352901569149969
0.118,0.3108,1,0,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2287322508572896
0.2048,0.4664,5,0,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3391544443304168
0.2644,0.5624,20,0,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4085434649612939
0.274,0.5828,50,0,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4215774466191218
0.1268,0.328,1,1,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2398235535237037
0.2052,0.4888,5,1,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3464607945317807
0.2516,0.5536,20,1,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3937351164204529
0.2656,0.598,50,1,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4202990423567373
0.1496,0.3572,1,2,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2639314385395645
0.2136,0.4992,5,2,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3544938730775759
0.2572,0.5552,20,2,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4040863862027187
0.2776,0.5936,50,2,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4260568997431771
0.1264,0.3072,1,3,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2312786803139503
0.1932,0.4788,5,3,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3312382818049238
0.2704,0.572,20,3,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4110129563092822
0.276,0.5996,50,3,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4276154769810405
0.116,0.3216,1,4,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2303055638920805
0.2184,0.4896,5,4,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3546515143262894
0.2704,0.5788,20,4,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4178965460320815
0.276,0.6024,50,4,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4270593943675688
0.1108,0.2876,1,5,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2138565092850572
0.1976,0.45,5,5,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3287080798825184
0.2464,0.5612,20,5,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3963694671346897
0.2804,0.598,50,5,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4283372555710926
0.1032,0.2872,1,6,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2093545832951677
0.1968,0.4584,5,6,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.32744159134677
0.2768,0.5732,20,6,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4170458750887564
0.288,0.5908,50,6,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4308814139722357
0.1168,0.3232,1,7,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2318329146511721
0.2116,0.4872,5,7,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3502876405712927
0.2772,0.572,20,7,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4158100327939473
0.2976,0.614,50,7,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4444252896632161
0.1204,0.3128,1,8,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.228922919035909
0.2028,0.4884,5,8,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3401730769745704
0.27,0.5868,20,8,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4205043671550402
0.2972,0.6164,50,8,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4466172075803155
0.1048,0.2704,1,9,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2088223707948429
0.1908,0.5032,5,9,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3395419387214147
0.2748,0.5932,20,9,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4233533474602373
0.2992,0.5988,50,9,layer3.4.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4409803008942172
0.1164,0.3016,1,0,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.227094644798911
0.2116,0.4756,5,0,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3464312917036339
0.2672,0.564,20,0,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4116080813922974
0.2808,0.5852,50,0,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4271975427711127
0.1224,0.3292,1,1,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2378480736707924
0.2064,0.4928,5,1,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3464439658418949
0.2516,0.5556,20,1,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3959463714128045
0.2692,0.6024,50,1,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4240188280881154
0.1468,0.3636,1,2,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2627981428413886
0.2128,0.502,5,2,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3552255816053986
0.25,0.5716,20,2,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4027605287765782
0.2832,0.5984,50,2,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4302506698458934
0.1272,0.3052,1,3,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2299624840267198
0.19,0.4792,5,3,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3306617942661068
0.2732,0.5684,20,3,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4153837871538715
0.2772,0.6132,50,3,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4322077555145741
0.1172,0.3212,1,4,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2326013725677845
0.2268,0.4948,5,4,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3605824853696759
0.2732,0.5844,20,4,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4200149154201797
0.2728,0.6036,50,4,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4275142595792795
0.1116,0.2928,1,5,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2156385330501452
0.1916,0.4608,5,5,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.327482516272961
0.2532,0.5648,20,5,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4001548462807395
0.278,0.6024,50,5,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4298097294441357
0.1064,0.2912,1,6,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2123405619913029
0.1968,0.4616,5,6,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3300380986483429
0.2748,0.58,20,6,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4191724709225741
0.2888,0.5956,50,6,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4338561603199847
0.1184,0.3296,1,7,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2340179943937914
0.2132,0.4912,5,7,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3509426238810236
0.2776,0.5752,20,7,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4186519398473803
0.2972,0.62,50,7,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4466829222666371
0.1208,0.3064,1,8,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2292131133573296
0.2088,0.4908,5,8,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3459073040013141
0.274,0.5936,20,8,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4244004906057866
0.3032,0.6188,50,8,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4515032972470523
0.1096,0.2828,1,9,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2135812086773442
0.1924,0.5084,5,9,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3417073705940595
0.2824,0.5976,20,9,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4294778969308053
0.3012,0.6028,50,9,layer3.5.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.444489309109854
0.1048,0.2932,1,0,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2142111959400788
0.1724,0.44,5,0,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3103595470006425
0.2416,0.5488,20,0,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3883406239884147
0.2552,0.5612,50,0,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4043727892108073
0.1096,0.2928,1,1,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2191770707053902
0.17,0.4524,5,1,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3093986751181105
0.2308,0.5496,20,1,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3811503492139313
0.2556,0.5716,50,1,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4041084863120684
0.1232,0.3248,1,2,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.2377987031784451
0.1916,0.4884,5,2,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.333166791323285
0.2332,0.5484,20,2,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.3815657479786202
0.2496,0.5736,50,2,layer4.0.relu,ResNet50,Scene Classification,Supervised,Taskonomy,0.4027497337682143
