accuracy (top 1),accuracy (top 5),n_train,i_repeat,layer,architecture,task,kind,source,MRR
0.0956,0.274,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2044861224961621
0.1096,0.3116,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2234338455448506
0.0556,0.1788,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1420383637466863
0.0888,0.2652,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1931803098300524
0.108,0.2964,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.217549761242927
0.1048,0.2976,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.218860120063316
0.0392,0.1736,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1306305071967053
0.0856,0.2492,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1879488843958081
0.11,0.2928,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2194849719594155
0.1132,0.3096,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.225545694388665
0.0616,0.1828,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1453886710569605
0.0884,0.2468,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1846175863900625
0.102,0.2796,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2085137837471767
0.1052,0.3032,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2171217905222691
0.0604,0.1872,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1464712296059452
0.0904,0.2488,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1879315478079912
0.1096,0.2948,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2163220267939369
0.114,0.3116,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2261413911636621
0.0612,0.1984,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.1512915836780816
0.0824,0.244,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.18522055012497
0.112,0.2972,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2219218895950801
0.1112,0.316,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch,0.2271579514903358
