accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0244,0.1096,0.09959019902731794,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1752,0.13668436381302573,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2164,0.15138802031464685,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2268,0.15851818787864855,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.1532,0.11958186629412923,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1968,0.14513942858998136,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.056,0.2044,0.15274365979890955,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0612,0.2352,0.16546231503457975,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.14,0.11056764311556092,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1744,0.1314000704162954,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.204,0.14789216310324757,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0568,0.212,0.15867110155002925,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1496,0.1163043786486722,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1764,0.13659584264876543,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.212,0.15377980029066832,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2232,0.15596696585516565,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.038,0.1392,0.11792821559346883,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1856,0.13731652246151768,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0588,0.2248,0.16275654536606526,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.2284,0.16133816232615691,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.128,0.10618987777159737,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1704,0.13258286956191648,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.2164,0.15071441071483163,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2244,0.15689596663035324,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.1436,0.11290756950211885,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1896,0.14016645669306108,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2044,0.1473148257553857,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2272,0.1580662323189586,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0284,0.1376,0.10979114002980618,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.176,0.130008710548156,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2148,0.1552892298831476,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0556,0.224,0.16007458402103733,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0336,0.152,0.11596390763805209,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.174,0.12885255859375055,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2136,0.15496091952464802,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.2304,0.15957100126537901,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1576,0.12786798023716953,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1808,0.13320687028966605,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2076,0.14762083755156075,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2192,0.1557298295752946,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0248,0.1136,0.09982257638227779,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.1884,0.13863828401680708,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2152,0.151400628313017,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2328,0.15797478935859957,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1428,0.11653538701215337,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1916,0.14180781674488094,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.202,0.15055398246362608,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.232,0.16119090966513996,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.1328,0.10620403539320639,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1644,0.12909351056044607,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.2012,0.1485929771439948,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0564,0.2216,0.161528870076514,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.144,0.11513267351142492,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.168,0.13164503311251313,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.2148,0.15573404958807416,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2352,0.15634087267474886,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1368,0.11333540522393185,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.182,0.13505791461342959,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0592,0.2296,0.1624119953320348,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.2316,0.16137837408716302,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.028,0.1324,0.10690374723365027,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.17,0.13469602268563707,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2156,0.15193656323869165,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2224,0.15613491121770737,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.1456,0.11286880407132027,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1796,0.13768752288487035,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2036,0.147995022317577,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.22,0.15879370628023778,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.1364,0.1093597687528604,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1704,0.1304823924602122,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.2088,0.1529013545450827,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0492,0.2216,0.1558901004923784,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1456,0.114855428606834,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1748,0.13199729580283778,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2116,0.15286291058237853,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.2344,0.16216451281183503,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1624,0.12876701332615606,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1816,0.13196807011350778,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.208,0.1480285360790331,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2176,0.1557829111701203,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
