layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
logits,0.01792288807116904,0.004307184673837356,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-lin,11.184689516305319,9.538119254879243,V4,engineered
logits,0.04020079565544965,0.005913297221775875,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-lin,6.190207892909173,4.525785796365499,V4,engineered
logits,0.06839031827836015,0.006393899072970667,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-lin,8.76024549408124,9.117470464676916,V4,engineered
conv1,0.2383627098591327,0.00484763661135042,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,26.76594416344775,62.94765796468307,V4,supervised
conv3,0.24428071937625412,0.004407985890731396,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,61.86510810894085,170.8610374588182,V4,supervised
conv5,0.18033542016197662,0.007729610316512602,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,81.21807980868027,131.0418175461601,V4,supervised
fc7,0.0986141683864603,0.006907431212118086,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,29.699568246693765,229.83204545540787,V4,supervised
block1,0.25461755396300684,0.007441320696993134,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,18.889844980137582,48.728309223012964,V4,supervised
block2,0.17963218291893726,0.005359924938160946,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,41.33845033242026,105.62535938405334,V4,supervised
block3,0.2143224935195573,0.005697976704860266,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,84.02821130249983,150.96343877964935,V4,supervised
block4,0.14968528275754894,0.006232760315268673,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,68.35888208081352,187.35290266433907,V4,supervised
block1,0.20695971018419887,0.007837673476154081,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,36.097231611840655,40.53017731307298,V4,supervised
block2,0.13454086790348294,0.006642452332979399,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,97.20946701233949,95.14418655957896,V4,supervised
block3,0.1976894161467528,0.00789134165103554,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,163.88008780431193,118.27160974048603,V4,supervised
block4,0.1463019358811279,0.006216905186543857,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,81.66685954337986,170.5378854240871,V4,supervised
conv1,0.14601591326848812,0.007231728537845038,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,11.854905709717906,19.233390590155388,V4,supervised
conv3,0.1574389396969728,0.008395898207758847,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,7.436001289763369,13.405601550329044,V4,supervised
conv5,0.14670669770101158,0.005181837367494368,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,8.812504571555936,15.875671830021266,V4,supervised
fc7,0.1739094456545495,0.006153368157343619,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,12.11688993203569,17.32570485951217,V4,supervised
block1,0.15496738975457106,0.0055483344451683955,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-lin,13.659986595561422,23.391938779488758,V4,supervised
