layer,score,score_error,model,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_5,0.4260660466845314,0.004565989180348611,resnet18-depth,32.191181865295775,594.9087999947268,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.42462549908841785,0.004418661731092833,resnet18-depth,41.47879758318418,419.03877943324864,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.4214831664114491,0.004540116100569231,resnet18-depth,34.7244540039696,467.2771034302559,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_8,0.3961766078176393,0.004340229788834492,resnet18-depth,32.9275031705589,285.51753901854465,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_9,0.3947105278143856,0.004189206269723095,resnet18-depth,34.940859728644476,264.6338453119538,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_1,0.3448616688821933,0.004056697506213279,resnet18-simclr,15.580650141380936,36.30014911301305,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_2,0.4096567721556923,0.0041433505039624305,resnet18-simclr,21.22004050877271,187.04613350623086,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_3,0.42382121902099035,0.004258390891444239,resnet18-simclr,25.21668721474895,455.95286137046094,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_4,0.4390475977479048,0.004470609853469913,resnet18-simclr,36.6501622083954,588.3455846039001,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_5,0.4412437225776525,0.004476674005491907,resnet18-simclr,30.08273675485547,598.8525468859698,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_6,0.4723428046583018,0.0045054802241687114,resnet18-simclr,26.749957281543853,325.97167842208177,EVC+OPA+PPA+LOC+PFS+OFA+FFA
encode_7,0.47265956594778025,0.004333750215907407,resnet18-simclr,21.662071681149882,291.9641502224902,EVC+OPA+PPA+LOC+PFS+OFA+FFA
