layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block1,0.0015030744642626102,0.00022283407002916008,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,8.541391050245894,8.252314307063202,V4,supervised
block2,0.00046044424930568483,0.00018796121914035633,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,4.163255681986676,4.299677831350609,V4,supervised
block3,0.00039257006686516,0.0002193673605158715,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,2.182589592458574,2.3045946620221507,V4,supervised
block4,0.00028318799539366643,0.00016657849764475824,base=resnet50 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,1.8673685716266533,1.9151193044196406,V4,supervised
block1,0.002327754500418904,0.0002643200733388995,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,11.777685794831218,8.667985483061925,V4,supervised
block2,0.0016435229159272302,0.00033021491961110255,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,8.255984071906676,6.034078865576757,V4,supervised
block3,0.002464489087664445,0.00039914226865775924,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,5.687917738611762,4.014160126918305,V4,supervised
block4,0.001025708758980279,0.0003266141003223744,base=resnet18 (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,3.9304770837330554,3.693635748180003,V4,supervised
block1,0.005114298654473946,0.0002182962303635788,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,23.321962459603345,59.488059369553305,V4,unsupervised
block2,0.0046618440051466505,0.0002529087722747677,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,43.33093913630285,143.96704249087503,V4,unsupervised
block3,0.013984121317197853,0.00026980010089051724,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,69.64128277847287,110.57875524211012,V4,unsupervised
block4,0.0069001076539465115,0.000268106029501384,base=resnet50 simclr-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,43.03675379216614,207.73351692841365,V4,unsupervised
block1,0.0037659511377025087,0.0002266486147196478,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,19.6139084250959,43.612514662310126,V4,unsupervised
block2,0.00585168330627127,0.00023368374030706973,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,46.569976868704,112.93197779882912,V4,unsupervised
block3,0.016802311121618285,0.0002623744627752417,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,78.87428860213971,117.51407091538088,V4,unsupervised
block4,0.011812190184795035,0.00031346224158915827,base=resnet50 barlowtwins-type=unsupervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-rdm,63.21705605376319,390.76025581351183,V4,unsupervised
block1,0.005200957166687672,0.0002656899744714071,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,27.00152872462665,37.35552304646143,V4,unsupervised
block2,0.005233706006399872,0.00022538874943151156,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,44.11012079254836,73.03678414296142,V4,unsupervised
block3,0.021784716402358288,0.0002385144074540112,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,66.6894936384193,101.75702049250971,V4,unsupervised
block4,0.03431126201421368,0.00035972350288274483,base=resnet50 simclr-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,34.49565510896212,208.22446397460564,V4,unsupervised
block1,0.0034165226217775417,0.0002641374449639576,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,19.741332660638353,29.788398572325004,V4,unsupervised
block2,0.005672742023265249,0.00020498951301359104,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,45.62804310203846,75.82112114569289,V4,unsupervised
block3,0.021449322040194195,0.0002836951293934509,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,74.20466104018078,111.00545268232116,V4,unsupervised
block4,0.03951201265921588,0.0005792733615094266,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.V4.public-rdm,46.31114647835736,356.9351244451548,V4,unsupervised
