80% variance,alpha,effective dimensionality,layer,architecture,task,kind,source
5.0,2.0826209964853386,3.7762004498611517,layer1.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
6.0,1.8334877542627062,5.539615332918693,layer1.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
9.0,1.6846948966336943,7.735891996097474,layer2.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
12.0,1.4931453270537345,8.212448293928137,layer2.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
27.0,1.313694953886597,17.70315173478181,layer3.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
39.0,1.1729339016074358,23.782067822642254,layer3.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
67.0,1.1362999385112251,33.01177216942253,layer4.0.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
101.0,1.015978479939066,46.98225002824447,layer4.1.relu,ResNet18,Contrastive Multiview Coding,Self-Supervised,VVS
3.0,2.5381517268138336,3.199491043357352,layer1.0.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
2.0,2.629552648113223,2.161703350911925,layer1.1.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
2.0,2.670331685435803,1.9523660960651164,layer1.2.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.8826007204081407,1.463881604284558,layer2.0.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.9270847606406463,1.3057476148432223,layer2.1.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.8848810039082675,1.3321506785986337,layer2.2.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.661628099317612,1.3928084431226322,layer2.3.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.736829762175855,1.3020344785268438,layer3.0.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.8250968344551612,1.3545381997505794,layer3.1.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.875916545643936,1.2469030430842067,layer3.2.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.9128645149477808,1.1650476901482076,layer3.3.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.9084694720949926,1.1539167885715735,layer3.4.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,2.898990530182643,1.3029322572499178,layer3.5.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,3.026561127012587,1.2908089614298517,layer4.0.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,3.033291677705974,1.392048418396783,layer4.1.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
1.0,3.0308943025543758,1.2102909301221454,layer4.2.relu,ResNet50,Auto-Encoder,Self-Supervised,Taskonomy
4.0,2.21040475701462,3.836450571402297,layer1.0.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
3.0,2.2461007475519037,3.224972813601645,layer1.1.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
3.0,2.1809017190558904,3.2068086543501813,layer1.2.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
2.0,2.1751144366310933,1.7684863690913546,layer2.0.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.1811037999190974,1.3791784790759456,layer2.1.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.2069731933506134,1.186819194606831,layer2.2.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.1209808362394984,1.1235789589777114,layer2.3.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.1936282772906406,1.0204241879072566,layer3.0.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.2801878603658605,1.0044298035444672,layer3.1.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.3789451159144117,1.0024173187047871,layer3.2.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.468833039858097,1.0025856379134355,layer3.3.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.538153490109199,1.002759504271553,layer3.4.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.571543138623527,1.003833566096305,layer3.5.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.5680938299378604,1.0042019195209173,layer4.0.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.6199369450613657,1.0024705411405894,layer4.1.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
1.0,2.6353923867355005,1.0039314301241447,layer4.2.relu,ResNet50,Curvature Estimation,Supervised,Taskonomy
3.0,2.620998406559456,3.377321863924235,layer1.0.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
2.0,2.6671152290051343,2.2596695775784066,layer1.1.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.7257259712111637,1.403521082669006,layer1.2.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.948682954493226,1.2145841462933868,layer2.0.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,3.074246386937161,1.140771480448019,layer2.1.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,3.001759089845411,1.0813038707423581,layer2.2.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.897071567575322,1.0455419838456055,layer2.3.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.8529019712484645,1.037629544673602,layer3.0.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.842979074138569,1.0653998281238883,layer3.1.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.833597228397113,1.0621619680555434,layer3.2.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.814024713676093,1.0655685615005706,layer3.3.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.7791443642762417,1.061197036359059,layer3.4.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.787625247725843,1.069243065260739,layer3.5.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.764892084671169,1.1872965986992141,layer4.0.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.722532498026973,1.2278176920151584,layer4.1.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
1.0,2.7307964534309797,1.2507069518245744,layer4.2.relu,ResNet50,Denoising,Self-Supervised,Taskonomy
2.0,2.4354042791702835,2.756508170127601,layer1.0.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,2.351345529484876,2.1331223143511964,layer1.1.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,2.196057805342274,1.7315039310215676,layer1.2.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
1.0,2.242964092256215,1.4727372115432273,layer2.0.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,2.2087102688079527,1.6337917661021752,layer2.1.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,2.1674252392344693,1.8243626198756953,layer2.2.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,1.9228159991355394,1.9585980384574042,layer2.3.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
2.0,1.9955116293086692,2.372025063026407,layer3.0.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
3.0,2.008865878555648,2.5469707736801217,layer3.1.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
3.0,2.0422857325325743,2.544374282507756,layer3.2.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
3.0,2.116562125484253,2.5435471231316025,layer3.3.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
3.0,2.1263741566897627,2.555268950810356,layer3.4.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
3.0,2.5187029603126923,2.556397366005719,layer3.5.relu,ResNet50,Edge Detection (2D),Supervised,Taskonomy
