accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.06,0.1924,0.15029342217061833,1,7,features.9,AlexNet,None,Untrained,PyTorch
0.0896,0.2696,0.198138976985748,5,7,features.9,AlexNet,None,Untrained,PyTorch
0.0928,0.3132,0.214391337121434,20,7,features.9,AlexNet,None,Untrained,PyTorch
0.1052,0.3392,0.2330545945746114,50,7,features.9,AlexNet,None,Untrained,PyTorch
0.0576,0.2,0.15017319329356502,1,8,features.9,AlexNet,None,Untrained,PyTorch
0.0888,0.2932,0.20483967696631958,5,8,features.9,AlexNet,None,Untrained,PyTorch
0.1088,0.3336,0.2307454284536659,20,8,features.9,AlexNet,None,Untrained,PyTorch
0.116,0.3404,0.23790610376273452,50,8,features.9,AlexNet,None,Untrained,PyTorch
0.0556,0.2164,0.15234490059079095,1,9,features.9,AlexNet,None,Untrained,PyTorch
0.086,0.2616,0.1934535662063808,5,9,features.9,AlexNet,None,Untrained,PyTorch
0.1064,0.3088,0.22165473737651,20,9,features.9,AlexNet,None,Untrained,PyTorch
0.1084,0.3264,0.23121519750988906,50,9,features.9,AlexNet,None,Untrained,PyTorch
0.0528,0.186,0.14409285000748936,1,0,features.11,AlexNet,None,Untrained,PyTorch
0.082,0.27,0.1915914430744773,5,0,features.11,AlexNet,None,Untrained,PyTorch
0.0936,0.3156,0.21583847654509963,20,0,features.11,AlexNet,None,Untrained,PyTorch
0.1124,0.3288,0.23230118931834787,50,0,features.11,AlexNet,None,Untrained,PyTorch
0.0564,0.2072,0.15185432809708582,1,1,features.11,AlexNet,None,Untrained,PyTorch
0.0784,0.2688,0.18976599519516818,5,1,features.11,AlexNet,None,Untrained,PyTorch
0.1008,0.3212,0.22226876886084693,20,1,features.11,AlexNet,None,Untrained,PyTorch
0.1092,0.3272,0.23233457081967546,50,1,features.11,AlexNet,None,Untrained,PyTorch
0.0484,0.158,0.13223755772409027,1,2,features.11,AlexNet,None,Untrained,PyTorch
0.094,0.2652,0.19854976583063,5,2,features.11,AlexNet,None,Untrained,PyTorch
0.1112,0.3148,0.22903710403985852,20,2,features.11,AlexNet,None,Untrained,PyTorch
0.1132,0.3288,0.23321819494748383,50,2,features.11,AlexNet,None,Untrained,PyTorch
0.0536,0.1928,0.14399634673460568,1,3,features.11,AlexNet,None,Untrained,PyTorch
0.0832,0.2808,0.19771659705407835,5,3,features.11,AlexNet,None,Untrained,PyTorch
0.1152,0.3468,0.23799929134638623,20,3,features.11,AlexNet,None,Untrained,PyTorch
0.1092,0.3388,0.23856828964478735,50,3,features.11,AlexNet,None,Untrained,PyTorch
