accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0528,0.2104,0.15020506585164045,-4.170655555464988,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.2096,0.14612690219408012,-4.37494455483129,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.2436,0.1643241117070519,-4.169370281205033,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0168,0.1316,0.09972845537829861,-4.873764387584633,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1736,0.13065397247939806,-4.2901272683471,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.22,0.1528676877327947,-4.37774154256616,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2412,0.16214874505545504,-4.193413266527433,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0248,0.134,0.10629166567529183,-4.929389809992195,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1832,0.13627097720901812,-4.289255247955243,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2092,0.15035357662616208,-4.348585809265806,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.2408,0.16017951230754732,-4.262290570423619,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.1456,0.1169955391608903,-4.56045938383388,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0392,0.1784,0.13338520969794132,-4.284937870061869,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1992,0.14377429405871375,-4.43128166639335,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.23,0.16018540550640065,-4.140883507923833,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.1452,0.11557357406675602,-4.591432105970844,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1972,0.14008006877737794,-4.269891743834575,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2052,0.14731984293355607,-4.346803250721761,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.2384,0.161236507900913,-4.077131961818489,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.034,0.1492,0.11797960473499763,-4.557136046684789,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1612,0.12804651533938985,-4.347746202808053,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0508,0.202,0.14940434019421456,-4.449345875996599,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.2192,0.15347863407005782,-4.201404823001613,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0256,0.1452,0.1095007194480668,-4.561369859134937,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1728,0.13280879774121207,-4.324603690097884,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1972,0.1422035404201451,-4.562341108971027,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.2348,0.15960716466762476,-4.2928575228319374,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1404,0.11445967434392779,-4.536033030560723,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1984,0.14618199936957202,-4.2530253565584015,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.054,0.2308,0.1598084549241839,-4.656719267721092,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.2448,0.1610908312259379,-4.323203075554324,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.1436,0.11499448862384372,-4.33591534400437,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1944,0.14206913550067454,-4.209036835279535,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.2112,0.14770409106126564,-4.636000659475514,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.236,0.16044999551068775,-4.575517015088969,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1412,0.11419003298080373,-4.592499665256295,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.2024,0.14724801774106652,-4.299881345023258,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.2072,0.1489412392301201,-4.6251372190580256,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.2284,0.1533625874921814,-4.572498515368462,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.1468,0.11460909881020898,-4.267395921307761,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0556,0.214,0.15423239903396496,-4.129592744194879,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.056,0.2224,0.1583774332781166,-4.547213736393032,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.2384,0.16534363097873103,-4.376535271291717,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0236,0.142,0.10449831917266326,-4.580902030430422,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.168,0.1284560806835471,-4.329283705493794,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.2112,0.14590806806948486,-4.767621114007657,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.2216,0.14996548297115003,-4.34461990369011,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1272,0.10875262902828488,-4.655185551704335,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1828,0.13582325617466035,-4.285177819026096,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.2148,0.1507802552430857,-4.76063596796652,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.04,0.2376,0.1546155610343505,-4.710902976279968,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0308,0.1328,0.1125739067706367,-4.3562904775626095,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1736,0.13050748267475784,-4.298095410084663,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2148,0.15186127451824843,-4.476292367524983,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.2452,0.1640309575227419,-4.513405228992145,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1416,0.11709194348647715,-4.322787942255261,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.188,0.13773927008473147,-4.295078172815485,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.2224,0.1529120017156305,-4.502365800976315,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.038,0.2456,0.15644015148767293,-4.729706816972248,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1528,0.11920550359761346,-4.151936719629375,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.174,0.13444259778955311,-4.269545276508743,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.2052,0.1444092974587184,-4.795254959256837,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.224,0.1471323503853075,-4.71445351035553,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
