layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,model_type,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
conv3,0.4116886842184007,0.0043264033164955,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",33.67783005934383,139.3461363553604,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.389947479963548,0.4619031521547001,0.38456710901644386,0.5346752729754165,0.5203782485503287,0.4184860023695772,0.33765938340895996,0.4830572553230832,0.24294117677288243,0.2330942624880173
conv5,0.413577585042992,0.0046713915613804,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",39.82085255456266,110.6779043447512,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3570840906838031,0.4157096146910144,0.34397562094697526,0.5677209891879368,0.5336344271492948,0.484765151066216,0.3442686105510035,0.4884422569202006,0.26914156811984946,0.19783214988093123
fc7,0.423288859104701,0.0045774397097274,base=alexnet-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",35.101125529826554,227.1364502833408,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39184453877831293,0.39052203353084924,0.3399679435964119,0.5801594827971662,0.5403177194678935,0.5154997794403338,0.37468631040106226,0.48599349547522863,0.2565803404505824,0.25143707510428015
block1,0.3807762381670193,0.0043513392695991,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",10.610320216360869,29.529389436605022,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.34362013311866085,0.44603550146150944,0.36029521788689095,0.5138611618576023,0.4952273977821585,0.3769058603574017,0.32741293935684124,0.38393002818597277,0.23615313655746578,0.23375177908419925
block2,0.4231683798324483,0.0046754242758871,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.80932245783822,55.59662547984754,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37443366448608706,0.4227346008846147,0.3799637653753962,0.5650052107247484,0.5459436733171283,0.47762682221061703,0.3570796294860763,0.5028387282258819,0.24125759938985186,0.27179043341371195
block3,0.4522099001871206,0.0046568238852616,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",34.794391605130535,114.69687913791196,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.385459442608283,0.43489360266942917,0.38695507523533523,0.5999125632744298,0.5472149359671183,0.5632712877073583,0.4052259182711096,0.5418808789254211,0.27667032406122377,0.26566861921241985
block4,0.4338617603543346,0.0040074161072737,base=resnet50-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",53.067644020972565,182.26800494561527,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4585140452943851,0.42952657568699315,0.42693954174972293,0.5894947658587872,0.5195141991073351,0.4871955044191053,0.4088104498176076,0.4141707802704455,0.2195133820885835,0.30758661434478085
block1,0.3711451149187773,0.0042111744617623,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",13.287526487094574,23.12907609403569,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31706364114250635,0.4618856856210475,0.31716689023149386,0.48389681055766876,0.4861059366844893,0.3415428583644052,0.31019910887202745,0.40178277527256706,0.26535176657366377,0.25562013993925736
block2,0.4224196944445207,0.0042947008301163,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.553229365599933,56.05575421323803,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3762406745454675,0.4241634941448854,0.36705668384196133,0.5377071411309665,0.5235397907047099,0.4877107586557843,0.3604120575555513,0.48866971681296123,0.28187095678068713,0.3042922699128981
block3,0.4265008633872754,0.0048333237236307,base=resnet18-type=supervised-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",41.50772265366491,67.89410151786119,supervised,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.38382840714823296,0.36731307411539627,0.3733659660480927,0.6037649590961846,0.5482531534970614,0.524414580058874,0.3882757795218066,0.4950021689695273,0.22988697580679932,0.22938441139997173
