layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region
encode_8,0.22347457292129325,0.004411927568118911,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.787551254155808,33.8992954669629,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.2458583283064968,0.004407108302245262,resnet18-ae-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.394746745116272,83.94592303074742,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1,0.2748708767907596,0.003806879570983455,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",18.696044132432597,75.24962635343476,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.31416620827021025,0.004048776281617255,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",21.87052965985079,290.7572905216086,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.33175223676887644,0.004013258380009939,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.325088198646636,270.7773254856769,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.3542368310309122,0.004284765297986901,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.742504915399877,224.7896254073912,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.3587865303886255,0.0044042270070070045,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.311902667838874,176.35589862976306,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.3248085854657546,0.004404547070562178,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.805537283906857,82.60374219992657,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_6,0.33587024423258566,0.0044292667246622255,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.586607453980831,138.49029416863033,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_7,0.30562620201528307,0.004331079335373611,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",4.340457971695588,167.62342022519124,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_8,0.2587951697912857,0.0037068902261933848,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",2.4634548855109433,7.4813382511725255,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_9,0.2596641695290602,0.003811385448402299,resnet18-cpc-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",1.4180584511156757,1.7377031641892018,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1,0.266476186895695,0.003829292401001401,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",16.546597920479677,61.298086322963854,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_1.conv,0.292321097476904,0.004297198293503708,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",17.113833081475047,219.04179192589476,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_2,0.34638449969868235,0.004081250526892507,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.96565350615135,251.07971206141698,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_3,0.3634275511353875,0.004177821353311684,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.13734533122361,380.69995413054227,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_4,0.3852021893826259,0.004413748928243114,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.72947642936824,455.4090071495477,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
encode_5,0.39522348992198264,0.00459019367772315,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.142007248434,473.4736182023992,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA
