num_pcs,scores,ambient_dim,layer,architecture,task,kind,source
21,0.06211666232496002,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
30,0.0716249066734539,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
45,0.07665902252178688,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
66,0.08562457655278298,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
97,0.08525468610704039,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
142,0.08870456807995582,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
207,0.08963827988668019,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
304,0.0822625296462952,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
445,0.07562786137981123,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
652,0.06858565959273173,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
955,0.05537888383947928,1000,layer3.3.relu,ResNet50,None,Untrained,PyTorch
1,0.004943699646331223,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
2,0.007011766205487287,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
3,0.012117953039379062,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
4,0.018392702798078458,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
6,0.026099835156043923,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
9,0.03738216824688413,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
14,0.041497993762273006,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
21,0.0567570585359739,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
30,0.07024548259159283,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
45,0.07641118138387273,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
66,0.08635395301616498,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
97,0.0895526234461017,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
142,0.08997769353532781,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
207,0.08689658968833537,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
304,0.08751104631026037,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
445,0.07933435855168257,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
652,0.07307691771852831,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
955,0.06103624025175878,1000,layer3.4.relu,ResNet50,None,Untrained,PyTorch
1,0.004868176472429797,1000,layer3.5.relu,ResNet50,None,Untrained,PyTorch
