num_pcs,scores,layer,architecture,task,kind,source
16,0.13515310290601595,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.1465525296620723,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.15935661549674712,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.16800011476765045,layer1.1.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.026815538403821584,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.10369293246161224,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.13211496800242634,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.14284796869250385,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.16007372634216596,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.17488987994900176,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.17731062771375153,layer1.2.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.0272568817066361,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.11108223283369183,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.16147834162508648,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.19500414387803208,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2147869490670054,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.22466558644220788,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.23426336414335988,layer2.0.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.02481975522590716,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.11579006320895888,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.15391144797695203,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.19586741916712494,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2169517326387112,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.22898084720504536,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2340850017764206,layer2.1.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.02520989087545229,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.10592997045650603,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.1582041747340438,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.18949028059327216,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.21095601979054224,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.22155162333982334,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2270484495292201,layer2.2.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.02543194213720653,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.1197509591914048,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.1737101603662949,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2034113963052869,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.22021697978481478,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.2357980447423063,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.23751433038454162,layer2.3.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.024928696948363867,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.1566344160793459,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.19394149612513648,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2286676029208254,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2547433685108863,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.26886595078110964,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.289543052163317,layer3.0.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.027442454360338916,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.15860490397453467,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.19533119110910008,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2349840295249722,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2581339793777504,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.2723798178377588,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2971116953658384,layer3.1.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.02746912479312494,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.15288021265469748,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.20063080768128067,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2415999960196037,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.26014195385767064,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.28469459807351527,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2909554179686642,layer3.2.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.028537661065021046,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.14834170111567838,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.21969152711904347,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.24402521131531643,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2674608054791821,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.28685976239162503,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2979013531629704,layer3.3.relu,ResNet50,Object Classification,Supervised,PyTorch
1,0.024102720719525968,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
6,0.15499557709053424,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
11,0.22872479511057425,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
16,0.2552151820543335,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
21,0.2808085406727029,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
26,0.2925548185587925,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
31,0.2988079988311175,layer3.4.relu,ResNet50,Object Classification,Supervised,PyTorch
