accuracy (top 1),accuracy (top 5),MRR,log likelihood,n_train,i_repeat,layer,architecture,task,kind,source
0.0768,0.2492,0.1796243058360906,-4.154958058012397,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.3348,0.230706721966136,-4.270680296543493,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1588,0.4024,0.28797627093353667,-4.863445827431542,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1772,0.4504,0.3171071649244726,-7.523386401545009,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.2244,0.16113904068985227,-4.327685310485923,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1188,0.3196,0.23318463026840142,-4.273559975778375,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.162,0.41,0.29166338985293033,-4.784856950130129,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1768,0.4544,0.31580975299376923,-8.26348897554564,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.088,0.2356,0.1830376626742203,-4.251015432875971,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1156,0.3316,0.23549175777554746,-4.242931242865228,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1576,0.4176,0.28895916146794887,-4.738714685714959,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1808,0.4552,0.3175165059122435,-8.110966869967875,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.076,0.2384,0.17660207689732318,-4.270982368048785,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1224,0.3232,0.2357596696582281,-4.387303967872448,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.174,0.4204,0.30195466006755683,-4.83949741050353,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1848,0.4596,0.32284939462166085,-6.784617358714335,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2364,0.18275117783643624,-4.309447719291967,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.126,0.3376,0.24332924189661995,-4.341187825954395,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
