accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0444,0.1568,0.12835013491845929,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1692,0.13866229229968366,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1832,0.14100066910463652,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.1344,0.10807937456656908,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.17,0.13163693050254008,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.19,0.14389768535597683,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1976,0.14535560029450156,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0292,0.1364,0.10885511205345198,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1684,0.12974461312186775,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1824,0.14091767645516576,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1872,0.13949248285094554,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0296,0.1252,0.10405966376018772,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1696,0.13258475132709976,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0576,0.194,0.14984356854215916,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1972,0.14441934744154242,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0288,0.1292,0.10636780106025806,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1476,0.12209829274576414,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1772,0.13721846055876938,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1884,0.14054141343360263,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.1276,0.10760780963179614,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.03,0.1332,0.10969396273273137,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1672,0.13222118128136812,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0456,0.1776,0.13539888356696841,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0348,0.128,0.11069278269185118,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0328,0.152,0.11746578785247021,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1552,0.12068914449278768,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1612,0.13175657807856833,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0312,0.1372,0.11208383417028285,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.148,0.12046355704577108,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1828,0.1363372287420425,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1724,0.1319973316047194,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0208,0.1172,0.09674890286447525,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.144,0.11861475094021239,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.16,0.12760559515521205,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.174,0.1323793028508471,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0252,0.1264,0.10302996670319838,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.034,0.1476,0.11778231693670914,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1692,0.13290197715368937,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.042,0.174,0.1336168374412623,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0272,0.1112,0.10146737385234265,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0364,0.1484,0.11830789786291052,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1648,0.13151868139258382,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1704,0.13229232518378103,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0272,0.1284,0.10491879089896786,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1512,0.12079673783510275,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1664,0.13147864692883707,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1756,0.13612600371233669,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1248,0.10707136207187841,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1596,0.12512174398620624,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1716,0.13207116773556674,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0368,0.166,0.1266660934719029,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0256,0.1216,0.10151278495046963,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1532,0.12269011613169803,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.1764,0.13702253126685962,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0416,0.1784,0.1347885211169836,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0316,0.1296,0.1094150532188205,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0324,0.144,0.11459225379071565,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0428,0.1524,0.1257619000413295,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.172,0.13350472340862152,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1232,0.10691303874440855,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0264,0.1256,0.10413589065876866,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.1576,0.12565372961093046,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1772,0.13002024321361824,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.022,0.1132,0.09873942329885879,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1332,0.112394294841139,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1588,0.12446744981618188,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1652,0.1250991074988246,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1352,0.1115213654849199,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1432,0.11685727749616827,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1812,0.13693908578246128,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1784,0.13454788729579725,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.024,0.106,0.09594980460067347,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0332,0.1396,0.11406280573484974,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1564,0.12396908255361856,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.158,0.1289989267431271,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0276,0.1236,0.10311506522747511,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1416,0.1200711316089428,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0408,0.1616,0.12581319098357988,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
