layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,EBA,EVC,FFA,LOC,OFA,OPA,PFS,PPA,RSC,STS
encode_1.conv,0.292321097476904,0.0042971982935037,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",17.113833081475047,219.0417919258948,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.37905902198380137,0.36650609523103367,0.3445635468522575,0.40242558227435815,0.41132733997055465,0.1834067267479234,0.27805506532809493,0.1650245282578137,0.13726831626440675,0.1980208046037434
encode_2,0.3463844996986823,0.0040812505268925,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.96565350615135,251.07971206141696,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3899938909936583,0.42473369199500055,0.34955284926632113,0.42451675773649067,0.4335494599676184,0.30980584091727725,0.3000526275756967,0.3158932215817879,0.20235721150577907,0.26186943810041063
encode_3,0.3634275511353875,0.0041778213533116,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.13734533122361,380.6999541305423,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.39808597233177667,0.41707730153424183,0.37262939783852234,0.44510081544470886,0.4534928315390011,0.34538914849649827,0.3159801776338171,0.3491818203950949,0.21153503327147793,0.26659011428072543
encode_4,0.3852021893826259,0.0044137489282431,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",24.72947642936824,455.4090071495477,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41395890073695746,0.433267312263785,0.3726593745394737,0.4915086089696955,0.49262883190055146,0.382404832098988,0.3340843558880178,0.37377656490313355,0.21586864253508797,0.2734152118413519
encode_5,0.3952234899219826,0.0045901936777231,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.142007248434,473.4736182023992,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.42151231187875604,0.4272271798137314,0.37950303084505477,0.5263294377053306,0.513594255599866,0.398797862564229,0.3330799704446973,0.3972733721807952,0.20370967119199548,0.28178248277352685
encode_6,0.3724904178396179,0.0044557786843794,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",14.085959725491012,286.7022518978024,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.41738309694138687,0.4358610717037718,0.3590443905935714,0.49471208039023523,0.49874391853312194,0.3127614557547359,0.2867387495650435,0.34398464314502286,0.23146351548767313,0.30111037474788244
encode_7,0.3935855158467123,0.004692946475384,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",8.572496806701968,142.7110586286491,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4239505507412116,0.43088549413611904,0.38314078275760777,0.5051245344976287,0.5255730320568367,0.39859995325656755,0.31849114497459524,0.3853152197450459,0.2142461873279946,0.28214524876405533
encode_8,0.343006998110113,0.0043242031745397,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",9.57986487195866,44.66078979718826,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.4013916131510452,0.4320168131793563,0.3343210935488897,0.4540471887210912,0.4627849282423111,0.32246507495879273,0.2638669956245468,0.2856614599182574,0.1663738136800657,0.2510866412849281
encode_9,0.3416090629744953,0.0039650712964763,resnet18-color-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",12.152692716619647,47.52870916822214,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3730111103537249,0.38564113094027563,0.31032052025646006,0.46143545208786996,0.4526475330931132,0.3282515596361451,0.28833057640684984,0.3318095452955916,0.19540930446239677,0.2059542798963582
encode_1,0.2793814336298816,0.0039136343101571,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",22.663781699665105,109.36834834278908,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.31196364611572447,0.369011559794245,0.3025572497480854,0.35408620651609407,0.3581285113481447,0.24413442795435863,0.23559024410726326,0.22731831957977977,0.14211498801033212,0.20035119892237552
encode_1.conv,0.2942408258746753,0.0038255770794872,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",18.86826471623417,229.6537937375893,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3393260452059884,0.3058718156927848,0.33996029488242463,0.402079895952377,0.38996313649564085,0.23066574228234463,0.27805328977544425,0.21449422040625915,0.19096328901270704,0.18209718207193265
encode_2,0.3063121241358493,0.0040330063575167,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",23.459649711658574,241.071677642991,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.33318120823053365,0.41643470360418106,0.30318640809621056,0.34828470488645835,0.37609785265231716,0.31444927160487274,0.23283883869812866,0.28484403163924704,0.18564117912460953,0.20633007006434181
encode_3,0.3304492267196247,0.0041859879414531,resnet18-rp-1000components,"bonner.Object2Vec.regression=lin.regions=EVC,LOC,PFS,OPA,PPA,RSC,FFA,OFA,STS,EBA",20.029841817154875,302.1750314544837,EVC+LOC+PFS+OPA+PPA+RSC+FFA+OFA+STS+EBA,0.3616525227007736,0.42778013682544436,0.3374583972143149,0.39822019079055077,0.4148797061201151,0.3408061385698381,0.25715104908524256,0.2966366927088344,0.18198872310422748,0.21955625016895045
