layer,score,score_error,model,benchmark,effective_dimensionality_dataset,effective_dimensionality_imagenet,region,model_type
block3,0.5400528133076175,0.004407717799895814,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,74.20466104018078,111.00545268232116,IT,unsupervised
block4,0.5359907922739741,0.003958115162027457,base=resnet50 barlowtwins-type=unsupervised-1000components,dicarlo.MajajHong2015.IT.public-pls,46.31114647835736,356.9351244451548,IT,unsupervised
logits,0.07005773226086,0.003936993426665623,base=curvature filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,46.61245383225093,92.57292332578486,V4,engineered
logits,0.02812836522617852,0.007736903169215824,base=edge filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,33.86596530622134,50.05537350517653,V4,engineered
logits,0.05157223329127008,0.009907557201664155,base=random filters (n=180)-type=engineered-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,14.004866815329956,27.578760368479948,V4,engineered
logits,0.08701965467973334,0.007746112545941684,base=curvature filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,9.627508204315758,7.873873488307533,V4,engineered
logits,0.06705560681011496,0.00820765535862098,base=edge filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,11.184689516305319,9.538119254879243,V4,engineered
logits,0.07853965183314716,0.006510686591055734,base=random filters (n=180)-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,6.190207892909173,4.525785796365499,V4,engineered
logits,0.1324904535847346,0.006271813997330796,base=raw pixels-type=engineered-1000components,dicarlo.MajajHong2015.V4.public-pls,8.76024549408124,9.117470464676916,V4,engineered
conv1,0.336883411072199,0.005251000057891497,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,26.76594416344775,62.94765796468307,V4,supervised
conv3,0.35797733555827493,0.007138134774015572,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,61.86510810894085,170.8610374588182,V4,supervised
conv5,0.2602892169402529,0.008676874578136949,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,81.21807980868027,131.0418175461601,V4,supervised
fc7,0.18116864979691627,0.0076400169248186664,base=alexnet-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,29.699568246693765,229.83204545540787,V4,supervised
block1,0.36609058714364673,0.005487151894507896,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,18.889844980137582,48.728309223012964,V4,supervised
block2,0.26860571922672893,0.007885673758996608,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,41.33845033242026,105.62535938405334,V4,supervised
block3,0.3019300168310735,0.00695031915334632,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,84.02821130249983,150.96343877964935,V4,supervised
block4,0.22315609075163811,0.0063497774824549215,base=resnet50-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,68.35888208081352,187.35290266433907,V4,supervised
block1,0.3254410728911415,0.007265412280066315,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,36.097231611840655,40.53017731307298,V4,supervised
block2,0.21997337504374803,0.007821373155572454,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,97.20946701233949,95.14418655957896,V4,supervised
block3,0.29650688611987924,0.008097910617420354,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,163.88008780431193,118.27160974048603,V4,supervised
block4,0.22882049204194807,0.007252024029088254,base=resnet18-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,81.66685954337986,170.5378854240871,V4,supervised
conv1,0.23750982973566082,0.009047561014081941,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,11.854905709717906,19.233390590155388,V4,supervised
conv3,0.24814674547170218,0.009540663556474026,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,7.436001289763369,13.405601550329044,V4,supervised
conv5,0.246672634409904,0.009072804637645378,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,8.812504571555936,15.875671830021266,V4,supervised
fc7,0.27200765563169654,0.00904759963429129,base=alexnet (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,12.11688993203569,17.32570485951217,V4,supervised
block1,0.24545385055248342,0.008179333829992076,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,13.659986595561422,23.391938779488758,V4,supervised
block2,0.1754149407089415,0.0099926631190963,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,20.137225294959556,33.47223237884626,V4,supervised
block3,0.11637077177397506,0.009233230874298207,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,17.113986906697495,60.919974788027936,V4,supervised
block4,0.1651207076775018,0.008603524086472053,base=resnet50 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,7.503640796907816,28.25176587303287,V4,supervised
block1,0.220909190335254,0.008451239711202652,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,17.98268337671874,19.991783314731073,V4,supervised
block2,0.14795515207700927,0.010483076849334172,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,17.445761827251022,20.608048724224247,V4,supervised
block3,0.1624712915176605,0.0122345362705499,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,31.57595845949926,25.76083100564198,V4,supervised
block4,0.2546459926297547,0.004370068177958989,base=resnet18 (untrained)-type=supervised-zscore-1000components,dicarlo.MajajHong2015.V4.public-pls,26.446699409920072,51.386119419465906,V4,supervised
conv1,0.3076776642524563,0.008037658149807421,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,16.18148740075188,27.65924179012877,V4,supervised
conv3,0.36296712510240664,0.008068773853493081,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,54.91141378402158,139.34613635536041,V4,supervised
conv5,0.25007314120695395,0.00809301123959399,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,75.49524652053924,110.6779043447512,V4,supervised
fc7,0.18074180790062727,0.006859757956196654,base=alexnet-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,29.04879859400244,227.13645028334082,V4,supervised
block1,0.3682173271717059,0.007681234822398569,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,19.574282747373356,29.529389436605022,V4,supervised
block2,0.2825521129583251,0.0077969598695281144,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,33.43443585141794,55.59662547984754,V4,supervised
block3,0.33747200681481976,0.008539709229116316,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,81.96052734779498,114.69687913791196,V4,supervised
block4,0.23063159542413508,0.006556450002423613,base=resnet50-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,55.496519606157435,182.26800494561527,V4,supervised
block1,0.33900230731788433,0.00825599680587107,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,28.522193802118558,23.12907609403569,V4,supervised
block2,0.23656976129967816,0.006603714862742303,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,73.03286114574274,56.05575421323803,V4,supervised
block3,0.3287012917695774,0.007186022673871056,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,104.13673240464881,67.89410151786119,V4,supervised
block4,0.24197579989780013,0.007158714634734818,base=resnet18-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,54.435321425158925,163.75875080664545,V4,supervised
conv1,0.28020720720353337,0.008524145282310875,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,11.280407766549617,14.84222331904795,V4,supervised
conv3,0.28022126661873603,0.008577996010285877,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,7.677462414179674,10.09265257212421,V4,supervised
conv5,0.2569429231991544,0.00962855899542653,base=alexnet (untrained)-type=supervised-1000components,dicarlo.MajajHong2015.V4.public-pls,6.52733755203501,8.233365857645616,V4,supervised
