accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0956,0.2668,0.20022176030160874,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2768,0.2034403144435193,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.06,0.1788,0.14253618781150346,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.2264,0.1722741764148219,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.086,0.2716,0.19604879339101752,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.2824,0.19987800996568197,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1636,0.13204236688469645,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2244,0.17053374825833056,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2532,0.1907427079266193,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.2764,0.19974654123672436,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1576,0.1299176177943393,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.2232,0.16720645189999253,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0808,0.2676,0.1895654892091113,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2884,0.2014660088032218,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.1652,0.13478577059689364,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0796,0.2404,0.17898629614423478,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.288,0.20127063527496308,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.2848,0.20624515906894886,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1884,0.13992211455742828,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0732,0.224,0.1715945826825272,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2556,0.1886960218471246,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2672,0.19720034509727463,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1512,0.12046382947486109,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0756,0.2384,0.17631296983505992,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.2468,0.18383212788445594,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.264,0.19203907425594097,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1752,0.13501111813104857,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.218,0.16897508203334963,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.2576,0.19003341416747507,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.2712,0.19373685109365885,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1496,0.1247706500378228,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.084,0.232,0.1767897223884935,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2444,0.1838254488433928,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2532,0.19260212354732723,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0476,0.1584,0.12958371386134346,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
